INCIDENTNEIGHBORHOOD,OFFENSES
Marshall-Shadeland,3921 Theft by Unlawful Taking or Disposition.
Brookline,9998 Overdose Other
Larimer,5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE / 627.02(b)(ii) Smoking a small amount of marijuana in any public space
Greenfield,2709(a) Harassment.
Mount Washington,9999 9999 - (Misc. Incident): 
North Oakland,9497 Aided Case
Shadyside,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 903 Criminal Conspiracy.
Squirrel Hill South,627.02(b)(i) Possessing a small amount of marijuana
Point Breeze North,"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise"
Mount Washington,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
Garfield,4106 Access Device Fraud
East Liberty,3921 Theft by Unlawful Taking or Disposition.
South Side Flats,3921(a) Theft by Unlawful Taking or Disposition - Movable item
Central North Side,3921 Theft by Unlawful Taking or Disposition.
East Liberty,2702 Aggravated Assault. / 2705 Recklessly Endangering Another Person. / 3304 Criminal Mischief.
Brighton Heights,9497 Aided Case
North Oakland,2709 Harassment (Non-Specific)
Allentown,9093 Indirect Criminal Contempt
Squirrel Hill South,3929 Retail Theft.
Squirrel Hill South,9496 Dead on Arrival (DOA)
Ridgemont,2709(a)(4) Harassment Communicates Prohibited Acts / 2709(a)(2) Harassment by Following Person in Public Place(s)
South Oakland,3743 Accidents Involving Damage to Attended Veh. or Property
East Allegheny,3934 Theft from Vehicle
Windgap,9093 Indirect Criminal Contempt
St. Clair,2706 Terroristic Threats. / 2709(a) Harassment. / 9093 Indirect Criminal Contempt
Mount Washington,3928 Unauthorized Use of Automobile and Other Vehicles.
Homewood North,9093 Indirect Criminal Contempt
Brookline,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck"
Bedford Dwellings,2702 Aggravated Assault. / 4914 False Identification to Law Enforcement Authorities
Brookline,627.02(b)(i) Possessing a small amount of marijuana
Central North Side,3921 Theft by Unlawful Taking or Disposition.
Knoxville,9093 Indirect Criminal Contempt
Perry South,3743 Accidents Involving Damage to Attended Veh. or Property / 3746 Immediate Notice of Accident to Police Department
Bedford Dwellings,2701 Simple Assault.
Strip District,3304 Criminal Mischief.
Elliott,2701 Simple Assault. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck
Chateau,9124 Drug Investigation
Marshall-Shadeland,2709 Harassment (Non-Specific)
Bluff,9999 9999 - (Misc. Incident): 
Knoxville,3921 Theft by Unlawful Taking or Disposition.
Carrick,3304 Criminal Mischief.
Bedford Dwellings,3934 Theft from Vehicle / 3304 Criminal Mischief.
Sheraden,3921 Theft by Unlawful Taking or Disposition. / 4106 Access Device Fraud
Crawford-Roberts,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Central Business District,9504 Lost Property
Homewood South,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Perry North,3743 Accidents Involving Damage to Attended Veh. or Property
South Oakland,9999 9999 - (Misc. Incident): 
Central Lawrenceville,3304 Criminal Mischief.
South Side Flats,3934 Theft from Vehicle
Brighton Heights,2709 Harassment (Non-Specific)
Central Oakland,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Spring Hill-City View,3304 Criminal Mischief.
Central Business District,3743 Accidents Involving Damage to Attended Veh. or Property
East Allegheny,3929 Retail Theft.
Mount Washington,9497 Aided Case
Hazelwood,9993 PFA Service with Weapons Supplement
Lincoln-Lemington-Belmar,9992 Governor's Order Violation
Squirrel Hill South,9999 9999 - (Misc. Incident): 
Brookline,9999 9999 - (Misc. Incident): Storm Damage to Home
Perry North,3934 Theft from Vehicle
Chateau,9999 9999 - (Misc. Incident): Suspicious Activity/Possible Scam - DoorDash
Central Lawrenceville,4106 Access Device Fraud
Perry South,3934 Theft from Vehicle / 4106 Access Device Fraud
Lincoln-Lemington-Belmar,3921(a) Theft by Unlawful Taking or Disposition - Movable item
Crawford-Roberts,3921(a) Theft by Unlawful Taking or Disposition - Movable item
Perry South,3934 Theft from Vehicle
Marshall-Shadeland,5902(a)(1) Prostitution  / 5902(a)(2) Prostitution - Loitering for purpose of / 907 Possessing Instruments of Crime.
South Side Flats,3929 Retail Theft.
Brookline,029 Missing Juvenile
Spring Garden,9998 Overdose Other
Larimer,2701 Simple Assault.
Hazelwood,9998 Overdose Other
California-Kirkbride,9124 Drug Investigation
Bloomfield,9497 Aided Case
Perry North,9999 9999 - (Misc. Incident): Runaway Juvenile
Central Business District,2706 Terroristic Threats. / 2701 Simple Assault.
Greenfield,5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE
Homewood North,3934 Theft from Vehicle
Brookline,2709(a)(3) Harassment No Legitimate Purpose
Point Breeze North,9999 9999 - (Misc. Incident): Possible Car Break-In
East Liberty,9123 Miscellaneous Fire Other Investigation to Continue
Bloomfield,9497 Aided Case
Perry South,3502 Burglary.
Spring Hill-City View,3304 Criminal Mischief. / 3745 Accidents Involving Damage to Unattended Veh.or Prop. / 3744 Duty to Give Information and Render Aid / 4304(a)(1) Enhanced Endangering Welfare of Children - Course of Conduct
Manchester,9012 Non-Violent Domestic
Outside City,9993 PFA Service with Weapons Supplement
Beechview,3934 Theft from Vehicle
East Allegheny,9497 Aided Case
North Shore,9489 Found Property
Brookline,9498 302 (Mental)
Brighton Heights,9497 Aided Case
Knoxville,3921 Theft by Unlawful Taking or Disposition.
Bluff,3304 Criminal Mischief.
Homewood South,9504 Lost Property
Garfield,9999 9999 - (Misc. Incident): Non-Reportable Accident
Bloomfield,3921(a) Theft by Unlawful Taking or Disposition - Movable item
Squirrel Hill South,3304 Criminal Mischief.
South Side Flats,3921 Theft by Unlawful Taking or Disposition.
Squirrel Hill South,9999 9999 - (Misc. Incident): 9999 - (Misc. Incident): 
Troy Hill,3304 Criminal Mischief.
Spring Hill-City View,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
Carrick,13(a)(32) Paraphernalia - Use or Possession / 13(a)(31) Marijuana: Possession Small Amount / 9501 Bench Warrant
Highland Park,9999 9999 - (Misc. Incident): Destruction of wounded deer
Homewood South,3745 Accidents Involving Damage to Unattended Veh.or Prop.
East Allegheny,2709(a)(3) Harassment No Legitimate Purpose
Bloomfield,3929 Retail Theft.
East Allegheny,9018 Accidental Fire
Highland Park,9134 Pedestrian Hit by Vehicle/Non-Reportable Accident / 3746 Immediate Notice of Accident to Police Department / 3742 Accidents Involving Death or Personal Injury / 3744 Duty to Give Information and Render Aid
Sheraden,2701 Simple Assault. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck
Allentown,9998 Overdose Other
Bluff,4915 Failure to Comply with Megans Law
Squirrel Hill South,9999 9999 - (Misc. Incident): Act of God-Lightning
Brookline,9093 Indirect Criminal Contempt
Chateau,9126 Prostitution Investigation
Chateau,2709 Harassment (Non-Specific)
Larimer,9497 Aided Case
East Allegheny,3304 Criminal Mischief.
Spring Hill-City View,4952 Intimidation of Witnesses or Victims
Friendship,3929 Retail Theft.
Homewood South,9496 Dead on Arrival (DOA)
Point Breeze,3934 Theft from Vehicle / 901 Criminal Attempt
Lincoln-Lemington-Belmar,3301 Arson 
Beltzhoover,3502 Burglary.
East Hills,"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise"
Northview Heights,9498 302 (Mental)
Arlington Heights,9497 Aided Case
Oakwood,9998 Overdose Other
Homewood North,3701 Robbery. / 2702 Aggravated Assault.
Mount Washington,9489 Found Property
Allentown,3502 Burglary. / 3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3928 Unauthorized Use of Automobile and Other Vehicles.
Bedford Dwellings,2702 Aggravated Assault.
Squirrel Hill South,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
Middle Hill,2709(a) Harassment.
Morningside,2709 Harassment (Non-Specific)
South Oakland,3921 Theft by Unlawful Taking or Disposition.
Bloomfield,3503(b.1)(i) Simple Trespasser -- threatening or terrorizing the owner or occupant of the premises
Middle Hill,9496 Dead on Arrival (DOA)
Marshall-Shadeland,9999 9999 - (Misc. Incident): 9999 - (Misc. Incident): Essential Business 311 Complaint - Car Wash
Arlington,029 Missing Juvenile
Beechview,"3304(a)(1) CRIMINAL MISCHIEF-Prop Damage By Fire, Explosives, or Other Dangerous Means"
Brookline,9123 Miscellaneous Fire Other Investigation to Continue
Spring Garden,"3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar)"
North Oakland,3304 Criminal Mischief.
Carrick,9999 9999 - (Misc. Incident): 
Hazelwood,3701 Robbery.
Central Business District,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 5104 Resisting Arrest or Other Law Enforcement. / 5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING"
Highland Park,3934 Theft from Vehicle
Homewood North,2709 Harassment (Non-Specific)
Oakwood,2709(a)(4) Harassment Communicates Prohibited Acts
Homewood South,3503(b.1) Criminal Trespass - Simple Trespasser
Brighton Heights,3304 Criminal Mischief.
North Oakland,3921 Theft by Unlawful Taking or Disposition.
Summer Hill,3934 Theft from Vehicle
Highland Park,3934 Theft from Vehicle
Homewood North,2709(a)(4) Harassment Communicates Prohibited Acts
Overbrook,3921 Theft by Unlawful Taking or Disposition.
Point Breeze North,3921(a) Theft by Unlawful Taking or Disposition - Movable item
Perry South,9492 Dog Bite
South Oakland,2709(a) Harassment.
Central Business District,9093 Indirect Criminal Contempt
Bedford Dwellings,3922 Theft by Deception.
Allentown,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
Central Lawrenceville,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Brookline,4106 Access Device Fraud
North Oakland,4106 Access Device Fraud / 3925 Receiving Stolen Property.
Homewood West,2709 Harassment (Non-Specific) / 3304 Criminal Mischief.
Bon Air,3934 Theft from Vehicle
Bluff,3921 Theft by Unlawful Taking or Disposition.
East Hills,"3934 Theft from Vehicle / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another"
Bluff,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Highland Park,4120 Identity Theft
East Liberty,9999 9999 - (Misc. Incident): 
Marshall-Shadeland,3934 Theft from Vehicle / 4106 Access Device Fraud
Brookline,9999 9999 - (Misc. Incident): 
Central Business District,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Bloomfield,3929 Retail Theft.
Beltzhoover,3502 Burglary. / 3921(a) Theft by Unlawful Taking or Disposition - Movable item
Beechview,2709(a) Harassment.
Perry South,2709(a) Harassment. / 4120 Identity Theft
Garfield,"3926(a)(1) Theft of Services; Cable, Gas, Taxi, Bill, Tab, etc."
Central Lawrenceville,9992 Governor's Order Violation
Bedford Dwellings,3304 Criminal Mischief.
Knoxville,3934 Theft from Vehicle
Crafton Heights,3802(a)(1) DUI - General Impairment
Crawford-Roberts,2701 Simple Assault. / 3304 Criminal Mischief.
Outside City,9094 Recovered Stolen Vehicle (OUTSIDE CITY)
Bloomfield,3929 Retail Theft.
Bloomfield,9999 9999 - (Misc. Incident): 
Homewood North,9496 Dead on Arrival (DOA)
Larimer,9993 PFA Service with Weapons Supplement
Mount Washington,9999 9999 - (Misc. Incident): 
Fairywood,9999 9999 - (Misc. Incident): Open Door
East Allegheny,9497 Aided Case
Carrick,2702 Aggravated Assault. / 2701 Simple Assault. / 4304(a)(1) Endangering Welfare of Children.
Fineview,2701 Simple Assault. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck
Crawford-Roberts,9124 Drug Investigation
Homewood South,3304 Criminal Mischief.
Carrick,2709(a) Harassment.
Lower Lawrenceville,3502 Burglary.
Allentown,3502 Burglary.
Morningside,9497 Aided Case
Bluff,9124 Drug Investigation
Brookline,9997 Overdose Death
Sheraden,9497 Aided Case
Brighton Heights,9501 Bench Warrant
Bedford Dwellings,2709(a) Harassment.
Sheraden,4120 Identity Theft
Fineview,3921(a) Theft by Unlawful Taking or Disposition - Movable item
Crafton Heights,5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING
Brookline,"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise"
Knoxville,2701 Simple Assault. / 3304 Criminal Mischief.
Terrace Village,9994 PFA Service
South Oakland,3502 Burglary.
Bedford Dwellings,029 Missing Juvenile
South Side Slopes,9497 Aided Case
Beltzhoover,9123 Miscellaneous Fire Other Investigation to Continue
Homewood South,3353 Prohibitions in Specified Places.
Homewood South,13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance
Lower Lawrenceville,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Middle Hill,2709(a) Harassment.
East Allegheny,3921 Theft by Unlawful Taking or Disposition. / 4106 Access Device Fraud
Central Business District,9504 Lost Property
Brighton Heights,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
Larimer,9998 Overdose Other
South Side Slopes,3502 Burglary.
Sheraden,3502 Burglary.
East Liberty,9012 Non-Violent Domestic
Perry South,3502 Burglary. / 3921 Theft by Unlawful Taking or Disposition.
Knoxville,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 2706 Terroristic Threats."
Banksville,3502 Burglary.
Carrick,"6501(a)(1) Scattering Rubbish; Any waste, dangerous or detrimental substance upon public property or waters"
Elliott,4905 False Alarms to Agencies of Public Safety.
West Oakland,3502 Burglary.
East Hills,3929 Retail Theft.
South Oakland,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Squirrel Hill North,9999 9999 - (Misc. Incident): 
Larimer,3304 Criminal Mischief.
Garfield,3925 Receiving Stolen Property. / 13(a)(31) Marijuana: Possession Small Amount / 13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession
Brookline,9018 Accidental Fire
Banksville,9496 Dead on Arrival (DOA)
Perry South,2709 Harassment (Non-Specific)
Beltzhoover,3502 Burglary.
Brighton Heights,3929 Retail Theft.
North Oakland,9501 Bench Warrant
Perry North,9490 Missing Persons (18 and Over)
East Hills,9123 Miscellaneous Fire Other Investigation to Continue
Lower Lawrenceville,2702 Aggravated Assault.
Homewood South,3701 Robbery.
Homewood South,029 Missing Juvenile
Beechview,3921 Theft by Unlawful Taking or Disposition.
North Oakland,9999 9999 - (Misc. Incident): Civilian Accidential Weapon Discharge
Central Business District,9999 9999 - (Misc. Incident): 9999 - (Misc. Incident): 
Central Business District,9999 9999 - (Misc. Incident): 
Central Lawrenceville,9992 Governor's Order Violation
Brookline,9498 302 (Mental)
Knoxville,5505 Public Drunkenness / 5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE
Allentown,2701(a)(3) Simple Assault - Attempts by Physical Menace  / 2706 Terroristic Threats.
Mount Washington,3921(a) Theft by Unlawful Taking or Disposition - Movable item
Point Breeze North,2709(a)(3) Harassment No Legitimate Purpose
Mount Washington,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 2706 Terroristic Threats."
Marshall-Shadeland,3502 Burglary.
Strip District,3502 Burglary.
Friendship,3743 Accidents Involving Damage to Attended Veh. or Property / 1786 Required Financial Responsibility. / 3323 Stop Signs and Yield Signs. / 1501(A) Valid Driver's License Required
Upper Hill,2701 Simple Assault. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck
Garfield,3304 Criminal Mischief. / 8106 Shots Fired
Marshall-Shadeland,3503 Criminal Trespass
Banksville,9998 Overdose Other
Homewood North,3929 Retail Theft. / 2709 Harassment (Non-Specific)
Carrick,9496 Dead on Arrival (DOA)
Point Breeze North,029 Missing Juvenile
Allegheny Center,13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 9501 Bench Warrant
Central Lawrenceville,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
Brighton Heights,2709(a)(3) Harassment No Legitimate Purpose
Crafton Heights,3934 Theft from Vehicle
Allentown,3502 Burglary.
Point Breeze North,2709 Harassment (Non-Specific)
Manchester,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
Allentown,2709(a)(3) Harassment No Legitimate Purpose
South Side Flats,3934 Theft from Vehicle
Carrick,3934 Theft from Vehicle
Shadyside,3922 Theft by Deception.
East Hills,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
Mount Washington,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
Lincoln-Lemington-Belmar,3934 Theft from Vehicle
Bedford Dwellings,"3925 Receiving Stolen Property. / 6106 Firearms not to be Carried without a License. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b)"
South Side Flats,5505 Public Drunkenness
Mount Washington,901 Criminal Attempt / 901 Criminal Attempt
South Side Flats,9489 Found Property
Beltzhoover,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 4106 Access Device Fraud
Mount Washington,2709 Harassment (Non-Specific)
Allentown,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Beltzhoover,3921 Theft by Unlawful Taking or Disposition.
Brookline,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
Crafton Heights,3921(a) Theft by Unlawful Taking or Disposition - Movable item
Hazelwood,3743 Accidents Involving Damage to Attended Veh. or Property / 3744 Duty to Give Information and Render Aid
Middle Hill,3934 Theft from Vehicle / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
Swisshelm Park,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3934 Theft from Vehicle
North Oakland,9999 9999 - (Misc. Incident): 
North Oakland,9999 9999 - (Misc. Incident): Property Report due to Accidental Discharge of Firearm
Strip District,9094 Recovered Stolen Vehicle (OUTSIDE CITY)
Crawford-Roberts,3928 Unauthorized Use of Automobile and Other Vehicles.
Allentown,2709(a)(4) Harassment Communicates Prohibited Acts
Crawford-Roberts,9124 Drug Investigation
Beltzhoover,3304 Criminal Mischief.
Manchester,2701(a)(3) Simple Assault - Attempts by Physical Menace  / 2705 Recklessly Endangering Another Person. / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
Bon Air,5104 Resisting Arrest or Other Law Enforcement. / 2709 Harassment (Non-Specific) / 5121 Escape. / 2709(b) Stalking
Bluff,2701(a)(3) Simple Assault - Attempts by Physical Menace  / 2706 Terroristic Threats.
Brookline,"601.11(a) Littering and Dumping; Any waste, dangerous or detrimental substance upon public property"
Lincoln-Lemington-Belmar,2705 Recklessly Endangering Another Person. / 2705 Recklessly Endangering Another Person. / 13(a)(16) Possession of Controlled Substance / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 3334 Turning Movements and Required Signals. / 1543 Driving While Operating Privilege is Suspended or Revoked.
Homewood West,13(a)(31) Marijuana: Possession Small Amount / 4303 General Lighting Requirements.
Lincoln-Lemington-Belmar,2709 Harassment (Non-Specific)
Allegheny Center,2709(a)(2) Harassment by Following Person in Public Place(s)
Brookline,3701 Robbery. / 2701(a)(3) Simple Assault - Attempts by Physical Menace 
Beltzhoover,9998 Overdose Other
Perry North,9124 Drug Investigation
Marshall-Shadeland,9997 Overdose Death
Troy Hill,3921 Theft by Unlawful Taking or Disposition.
Central North Side,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 4106 Access Device Fraud
Point Breeze North,2709(a) Harassment.
Central Business District,9497 Aided Case
Shadyside,"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise / 3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise"
South Side Flats,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Point Breeze,9129 Miscellaneous Investigation
Lincoln-Lemington-Belmar,13(a)(31) Marijuana: Possession Small Amount / 1371 Operation Following Suspension of Registration. / 1301 Registration and Certificate of Title Required. / 1543 Driving While Operating Privilege is Suspended or Revoked. / 1786 Required Financial Responsibility.
East Liberty,3304 Criminal Mischief. / 3503 Criminal Trespass
Hazelwood,3304 Criminal Mischief.
Brookline,4910 Tampering with or Fabricating Physical Evidence. / 13(a)(32) Paraphernalia - Use or Possession
Lower Lawrenceville,2701 Simple Assault. / 5104 Resisting Arrest or Other Law Enforcement. / 4304(a)(1) Endangering Welfare of Children.
East Hills,2701(b)(1) Simple Assault - Fight or Scuffle Entered by Mutual Consent
Lincoln-Lemington-Belmar,2709(a) Harassment.
Brookline,2706 Terroristic Threats. / 2709(a)(4) Harassment Communicates Prohibited Acts / 901 Criminal Attempt
Carrick,3934 Theft from Vehicle
Allentown,3929 Retail Theft.
East Liberty,2709(a)(3) Harassment No Legitimate Purpose
Stanton Heights,4120 Identity Theft
Brookline,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Carrick,2709(a)(6) Harassment Communicates Repeatedly at Extreme Hours
Perry North,9498 302 (Mental)
East Hills,029 Missing Juvenile
Swisshelm Park,627.02(b)(i) Possessing a small amount of marijuana
Lincoln-Lemington-Belmar,"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
Elliott,2706 Terroristic Threats.
Lincoln-Lemington-Belmar,9998 Overdose Other
Homewood West,3745 Accidents Involving Damage to Unattended Veh.or Prop.
East Hills,9497 Aided Case
Bon Air,2701 Simple Assault.
Knoxville,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 2706 Terroristic Threats."
Bon Air,2706 Terroristic Threats.
Brookline,9993 PFA Service with Weapons Supplement
Squirrel Hill South,9999 9999 - (Misc. Incident): 
Fineview,2709(a)(4) Harassment Communicates Prohibited Acts
Knoxville,3934 Theft from Vehicle
